Week No,Subs_Gained
1,25
2,66
3,55
4,65
5,70
6,56
7,118
8,137
9,252
10,158
11,141
12,155
13,147
14,171
15,151
16,127
17,175
18,218
19,256
20,277
21,344
22,609
23,690
24,766
25,712
26,512
27,742
28,860
29,702
30,673
31,367
32,474
33,497
34,650
35,915
36,925
37,1069
38,825
39,846
40,1738
41,3277
42,4587
43,3496
44,2317
45,2346
46,3479
47,3644
48,2922
49,1818
50,4693
51,3679
52,3488
53,3374
54,4546
55,3652
56,3967
57,4893
58,10272
59,5787
60,7667
61,4236
62,3220
63,3292
64,3296
65,2186
66,3254
67,4394
68,3296
69,3171
70,4364
71,3210
72,4320
73,4207
74,4250
75,4230
76,4282
77,5468
78,5475
79,4330
80,4292
81,4253
82,4205
83,4240
84,4340
85,4249
86,5384
87,7458
88,6343
89,7486
90,7472
91,7501
92,9491
93,7607
94,8791
95,9609
96,13835
97,13833
98,14731
99,12986
100,12085
101,19594
102,15098
103,18516
104,23451
105,22086
106,23386
107,20503
108,19482
109,17935
110,19029
111,18292
112,18341
113,19748
114,17401
115,18583
116,17312
117,15964
118,13913
119,11938
120,14701
121,17107
122,18491
123,19599
124,18457
125,19099
126,19298
127,19679
128,18617
129,20652
130,12852
131,21096
132,21443
133,21481
134,21471
135,10918
136,21464
137,21591
138,21684
139,21569
140,10729
141,21213
142,21323
143,21187
144,21021
145,31882
146,32545
147,21575
148,21861
149,21722
150,21479
151,21180
152,31973
